Região,nome_uf,nome_mun,cod_mun_ibge,total_ubs
Centro-Oeste,Mato Grosso do Sul,Bodoquena,500215,4
Centro-Oeste,Mato Grosso do Sul,Bonito,500220,6
Centro-Oeste,Mato Grosso do Sul,Brasilândia,500230,7
Centro-Oeste,Mato Grosso do Sul,Caarapó,500240,7
Centro-Oeste,Mato Grosso do Sul,Camapuã,500260,9
Centro-Oeste,Mato Grosso do Sul,Campo Grande,500270,82
Centro-Oeste,Mato Grosso do Sul,Caracol,500280,3
Centro-Oeste,Mato Grosso do Sul,Cassilândia,500290,13
Centro-Oeste,Mato Grosso do Sul,Chapadão do Sul,500295,9
Centro-Oeste,Mato Grosso do Sul,Corguinho,500310,4
Centro-Oeste,Mato Grosso do Sul,Coronel Sapucaia,500315,4
Centro-Oeste,Mato Grosso do Sul,Corumbá,500320,23
Centro-Oeste,Mato Grosso do Sul,Costa Rica,500325,6
Centro-Oeste,Mato Grosso do Sul,Coxim,500330,11
Centro-Oeste,Mato Grosso do Sul,Deodápolis,500345,7
Centro-Oeste,Mato Grosso do Sul,Dois Irmãos do Buriti,500348,5
Centro-Oeste,Mato Grosso do Sul,Douradina,500350,2
Centro-Oeste,Mato Grosso do Sul,Dourados,500370,36
Centro-Oeste,Mato Grosso do Sul,Eldorado,500375,5
Centro-Oeste,Mato Grosso do Sul,Figueirão,500390,1
Centro-Oeste,Mato Grosso do Sul,Fátima do Sul,500380,7
Centro-Oeste,Mato Grosso do Sul,Glória de Dourados,500400,5
Centro-Oeste,Mato Grosso do Sul,Guia Lopes da Laguna,500410,3
Centro-Oeste,Mato Grosso do Sul,Iguatemi,500430,5
Centro-Oeste,Mato Grosso do Sul,Inocência,500440,6
Centro-Oeste,Mato Grosso do Sul,Itaporã,500450,8
Centro-Oeste,Mato Grosso do Sul,Itaquiraí,500460,9
Centro-Oeste,Mato Grosso do Sul,Ivinhema,500470,9
Centro-Oeste,Mato Grosso do Sul,Japorã,500480,5
Centro-Oeste,Mato Grosso do Sul,Jaraguari,500490,2
Centro-Oeste,Mato Grosso do Sul,Jardim,500500,9
Centro-Oeste,Mato Grosso do Sul,Jateí,500510,4
Centro-Oeste,Mato Grosso do Sul,Juti,500515,2
Centro-Oeste,Mato Grosso do Sul,Ladário,500520,6
Centro-Oeste,Mato Grosso do Sul,Laguna Carapã,500525,4
Centro-Oeste,Mato Grosso do Sul,Maracaju,500540,14
Centro-Oeste,Mato Grosso do Sul,Miranda,500560,9
Centro-Oeste,Mato Grosso do Sul,Mundo Novo,500568,5
Centro-Oeste,Mato Grosso do Sul,Naviraí,500570,16
Centro-Oeste,Mato Grosso do Sul,Nioaque,500580,5
Centro-Oeste,Mato Grosso do Sul,Nova Alvorada do Sul,500600,7
Centro-Oeste,Mato Grosso do Sul,Nova Andradina,500620,12
